indicator,level,name,sex,race_eth,median_earnings,median_earnings_se,median_earnings_low,median_earnings_upp
by_race,region,South Central Regional COG,total,latino,45782,1377.186319635267,42390,47795
by_race,region,South Central Regional COG,total,api,78764,4971.608182709598,68884,88421
by_race,region,South Central Regional COG,total,other_race,62000,3816.974213065401,53948,69000
by_race,region,Southeastern Connecticut COG,total,white,67421,1095.43407154743,65705,70000
by_race,region,Southeastern Connecticut COG,total,black,45316,2517.9874475254096,44000,53948
by_race,region,Southeastern Connecticut COG,total,latino,43158,1597.1364544507426,41868,48148
by_race,region,Southeastern Connecticut COG,total,api,58287,7500.846756326588,45782,75362
by_race,region,Southeastern Connecticut COG,total,other_race,65000,6186.33828634252,52988,77363
by_race,region,Southeastern DMHAS,total,white,65942,576.9553084993566,64738,67000
by_race,region,Southeastern DMHAS,total,black,45008,2279.229619122497,44000,52988
by_race,region,Southeastern DMHAS,total,latino,43158,1507.902342591111,41763,47689
by_race,region,Southeastern DMHAS,total,api,66316,6815.516059775226,50621,77455
by_race,region,Southeastern DMHAS,total,other_race,65000,5480.19567728942,54428,76000
by_race,region,Southwestern DMHAS,total,white,99474,1100.6346615170487,97107,101422
by_race,region,Southwestern DMHAS,total,black,50000,1864.9615303443766,46629,53948
by_race,region,Southwestern DMHAS,total,latino,45000,1113.4887960472413,43158,47526
by_race,region,Southwestern DMHAS,total,api,110526,4745.91253265606,101737,120370
by_race,region,Southwestern DMHAS,total,other_race,65000,5295.21221258996,56522,77368
by_race,region,St. Vincent's Medical Center HSA,total,white,84781,1103.1266924969543,82895,87220
by_race,region,St. Vincent's Medical Center HSA,total,black,47101,1860.0827313931866,44300,51602
by_race,region,St. Vincent's Medical Center HSA,total,latino,43000,1420.3859474292053,40271,45845
by_race,region,St. Vincent's Medical Center HSA,total,api,83736,6532.951352965722,75000,100677
by_race,region,St. Vincent's Medical Center HSA,total,other_race,52988,5303.260575165497,41868,62802
by_race,region,Stamford Hospital HSA,total,white,103895,1658.2046631102367,99474,105976
by_race,region,Stamford Hospital HSA,total,black,60000,4522.053105301505,49195,66988
by_race,region,Stamford Hospital HSA,total,latino,45316,2238.435869004176,42080,50869
by_race,region,Stamford Hospital HSA,total,api,115136,5712.735740301259,107896,130351
by_race,region,Stamford Hospital HSA,total,other_race,79482,10239.779675833284,65211,105716
by_race,region,Tolland County,total,white,74183,1578.893840075089,71175,77368
by_race,region,Tolland County,total,black,40821,9976.684300496245,33912,74053
by_race,region,Tolland County,total,latino,53053,5885.993318050306,42390,65817
by_race,region,Tolland County,total,api,80922,8072.013647695091,67825,100000
by_race,region,Tolland County,total,other_race,58615,12464.190410131181,40000,90000
by_race,region,Western Connecticut COG,total,white,94203,1100.9438742333452,92791,97107
by_race,region,Western Connecticut COG,total,black,55263,3259.8507671166194,50000,62802
by_race,region,Western Connecticut COG,total,latino,47000,1523.8583042606074,44022,50000
by_race,region,Western Connecticut COG,total,api,107896,3888.5491471552787,101737,117000
by_race,region,Western Connecticut COG,total,other_race,68035,6517.506505003306,56368,82000
by_race,region,Western DMHAS,total,white,71175,796.8564357738269,70000,73124
by_race,region,Western DMHAS,total,black,49093,2611.9712967119967,45000,55263
by_race,region,Western DMHAS,total,latino,46000,1786.3690642876684,42390,49400
by_race,region,Western DMHAS,total,api,77368,4700.308887915727,69944,88421
by_race,region,Western DMHAS,total,other_race,58000,3902.370222936021,53516,68884
by_race,region,Windham County,total,white,58264,1388.0457737819347,55263,60708
by_race,region,Windham County,total,black,44171,18873.58080513992,36032,118276
by_race,region,Windham County,total,latino,38000,3568.431871668223,34000,48148
by_race,region,Windham County,total,api,74183,15428.138054918172,30211,94203
by_race,region,Windham County,total,other_race,70000,9281.978204833438,57000,94203
by_race,region,Windham Hospital HSA,total,white,65942,831.9703058392931,64738,68000
by_race,region,Windham Hospital HSA,total,black,41447,6688.891949883743,33912,60406
by_race,region,Windham Hospital HSA,total,latino,43158,2404.9945583372323,38684,48148
by_race,region,Windham Hospital HSA,total,api,76303,7972.96485340255,58615,90080
by_race,region,Windham Hospital HSA,total,other_race,60185,7103.6556411057845,52988,81000
by_race,puma,0900100,total,white,80922,1945.84971823471,77368,85000
by_race,puma,0900100,total,black,52335,8527.837279108471,44100,78000
by_race,puma,0900100,total,latino,43158,2741.3527490400807,39211,50000
by_race,puma,0900100,total,api,78502,10037.635489453116,65000,104669
by_race,puma,0900100,total,other_race,53948,5475.730438199409,43158,65000
by_race,puma,0900101,total,white,125603,4394.613553074581,117633,134870
by_race,puma,0900101,total,black,73124,23277.464784924818,43158,137769
by_race,puma,0900101,total,latino,67000,8647.117824780724,59684,93947
by_race,puma,0900101,total,api,143684,8161.738762016972,133530,165789
by_race,puma,0900101,total,other_race,76000,27014.03814665401,37579,146537
by_race,puma,0900102,total,white,101684,2161.6288098839473,97498,105976
by_race,puma,0900102,total,black,60708,4928.908043427056,47526,66988
by_race,puma,0900102,total,latino,45000,2289.8121568290317,41868,50869
by_race,puma,0900102,total,api,117000,6853.301866924059,107896,134870
by_race,puma,0900102,total,other_race,77368,10124.480795063337,59662,100000
by_race,puma,0900103,total,white,112000,4322.640121705189,105976,122932
by_race,puma,0900103,total,black,52988,5258.700479963975,43961,64738
by_race,puma,0900103,total,latino,48553,2595.8752898041353,44211,54428
by_race,puma,0900103,total,api,110000,9825.252520519041,79843,118686
by_race,puma,0900103,total,other_race,105716,17706.794430651204,69000,139888
by_race,puma,0900104,total,white,54048,3991.0030037985134,47101,62802
by_race,puma,0900104,total,black,46395,1674.4779664383586,43158,49737
by_race,puma,0900104,total,latino,37092,1876.6861906317513,33448,40821
by_race,puma,0900104,total,api,48553,7009.898342907985,46892,75000
by_race,puma,0900104,total,other_race,47526,6939.2559112890385,35000,62802
by_race,puma,0900105,total,white,83736,1610.7198481678251,80000,86317
by_race,puma,0900105,total,black,59343,4847.583390432963,49737,68884
by_race,puma,0900105,total,latino,63586,4141.168935562891,54428,70737
by_race,puma,0900105,total,api,97107,11512.174883250786,76000,121579
by_race,puma,0900105,total,other_race,59343,13408.041353201736,40000,93947
by_race,puma,0900300,total,white,70133,1143.5518384940542,68884,73369
by_race,puma,0900300,total,black,60000,4609.599507483947,52988,71175
by_race,puma,0900300,total,latino,47101,5499.934584567714,40271,62000
by_race,puma,0900300,total,api,80000,6549.188769372012,74183,100000
by_race,puma,0900300,total,other_race,62802,11470.453836905228,37092,82895
by_race,puma,0900301,total,white,63586,1689.8363404095037,59684,66316
by_race,puma,0900301,total,black,45570,2977.3055767974215,40271,52000
by_race,puma,0900301,total,latino,43857,2867.585380368498,40000,51288
by_race,puma,0900301,total,api,82895,4607.593812120744,71842,90080
by_race,puma,0900301,total,other_race,62802,10377.183365888759,42390,84000
by_race,puma,0900302,total,white,66316,4385.393925463802,56000,73269
by_race,puma,0900302,total,black,42000,1203.1185646829824,40271,45000
by_race,puma,0900302,total,latino,33664,1231.5513221609847,31793,36634
by_race,puma,0900302,total,api,70000,12800.56819941056,50400,101529
by_race,puma,0900302,total,other_race,37764,9245.934686426257,25000,62580
by_race,puma,0900303,total,white,92791,1932.9976419676248,89526,97107
by_race,puma,0900303,total,black,59343,3137.3165649381444,53948,66316
by_race,puma,0900303,total,latino,52988,3441.9126722646342,46421,60000
by_race,puma,0900303,total,api,99436,6737.561676321784,88475,115000
by_race,puma,0900303,total,other_race,71175,10794.946868218381,57000,100000
by_race,puma,0900304,total,white,70000,1797.9349881053745,66316,73369
by_race,puma,0900304,total,black,52335,5996.072637022993,48000,72064
by_race,puma,0900304,total,latino,44000,3306.6513855431017,39774,52869
by_race,puma,0900304,total,api,56167,10394.76502046439,35606,77363
by_race,puma,0900304,total,other_race,53053,9264.676090458406,40000,77368
by_race,puma,0900305,total,white,60789,1913.6602908212492,57227,64738
by_race,puma,0900305,total,black,43482,3178.7093868955744,36142,48749
by_race,puma,0900305,total,latino,38843,1317.383545893565,36685,41868
by_race,puma,0900305,total,api,59905,7644.861595960378,47101,77685
by_race,puma,0900305,total,other_race,54428,10847.33696972869,45008,90000
by_race,puma,0900306,total,white,84781,1429.318033583876,81789,87396
by_race,puma,0900306,total,black,73269,8020.44229168201,61895,94203
by_race,puma,0900306,total,latino,60000,4842.605854092502,49737,68884
by_race,puma,0900306,total,api,100677,6462.290873011747,85000,110526
by_race,puma,0900306,total,other_race,93947,10973.357245394525,61466,105976
by_race,puma,0900500,total,white,63586,740.2930471836197,62802,65705
by_race,puma,0900500,total,black,58615,8185.560657832738,47101,80000
by_race,puma,0900500,total,latino,52988,4929.262885036271,42000,61466
by_race,puma,0900500,total,api,70129,15768.09626895317,53948,117230
by_race,puma,0900500,total,other_race,65000,7137.827968347065,55263,83721
by_race,puma,0900700,total,white,74607,1408.98779525407,71842,77368
by_race,puma,0900700,total,black,46395,4535.552159259783,38000,56106
by_race,puma,0900700,total,latino,53948,5709.810931472708,43698,66316
by_race,puma,0900700,total,api,73164,10019.74764267271,53948,93947
by_race,puma,0900700,total,other_race,57568,8542.697438121948,41868,76000
by_race,puma,0900900,total,white,76606,2294.2567461005337,72000,81000
by_race,puma,0900900,total,black,61895,15828.394641592955,43158,107000
by_race,puma,0900900,total,latino,63586,4868.056655730209,53948,73269
by_race,puma,0900900,total,api,83000,8459.880592318252,72222,105976
by_race,puma,0900900,total,other_race,64105,17691.32421852983,33158,104669
by_race,puma,0900901,total,white,58287,2118.6968925484466,55263,63586
by_race,puma,0900901,total,black,42390,2234.4354390942085,40271,49093
by_race,puma,0900901,total,latino,42390,2113.4667128371534,38681,47000
by_race,puma,0900901,total,api,62000,10322.114572610106,40000,82001
by_race,puma,0900901,total,other_race,62000,9611.63460329141,38684,78000
by_race,puma,0900902,total,white,66316,1341.2848248321482,64738,70000
by_race,puma,0900902,total,black,48853,2296.2244697405145,43158,52279
by_race,puma,0900902,total,latino,47101,1533.8339973534542,43961,50000
by_race,puma,0900902,total,api,62802,12184.57953576239,40000,88421
by_race,puma,0900902,total,other_race,53948,3059.8506024507437,51288,63586
by_race,puma,0900903,total,white,71842,1981.8641721390504,68526,76303
by_race,puma,0900903,total,black,56000,3548.3965424472913,51947,65942
by_race,puma,0900903,total,latino,48553,4534.4032236201165,41437,59347
by_race,puma,0900903,total,api,70129,10684.584105664717,57474,100000
by_race,puma,0900903,total,other_race,65000,8598.275911802584,53826,88421
by_race,puma,0900904,total,white,75000,1135.6141598153993,73000,77455
by_race,puma,0900904,total,black,52869,6518.326952086516,44300,70133
by_race,puma,0900904,total,latino,47689,4593.423175164841,41868,60000
by_race,puma,0900904,total,api,82895,9858.86203784939,68884,107896
by_race,puma,0900904,total,other_race,55263,12457.644925219,34527,85841
by_race,puma,0900905,total,white,65942,2730.021428956924,61501,72222
by_race,puma,0900905,total,black,43961,2033.9543055223496,42000,50000
by_race,puma,0900905,total,latino,40271,1924.6772970734974,36634,44211
by_race,puma,0900905,total,api,68884,7191.009487911762,55263,83736
by_race,puma,0900905,total,other_race,60789,8808.23558835677,40000,75527
by_race,puma,0900906,total,white,75000,1764.4408088395578,71842,78764
by_race,puma,0900906,total,black,43000,9830.351251265547,42000,82000
by_race,puma,0900906,total,latino,57568,4912.711803634649,48553,68035
by_race,puma,0900906,total,api,116574,20477.991177810105,80000,161844
by_race,puma,0900906,total,other_race,71175,7129.423908252035,53948,82895
by_race,puma,0901100,total,white,66896,1375.3483665897531,64738,70133
by_race,puma,0901100,total,black,44211,4858.128086372558,34484,53948
by_race,puma,0901100,total,latino,43158,2115.162964998263,41868,50241
by_race,puma,0901100,total,api,42705,1784.3498070571588,38684,45782
by_race,puma,0901100,total,other_race,55263,7879.53426794701,49632,80922
by_race,puma,0901101,total,white,71004,1582.695828277458,67975,74183
by_race,puma,0901101,total,black,48553,7041.304618633437,45000,73000
by_race,puma,0901101,total,latino,44211,2465.186163505811,40000,49737
by_race,puma,0901101,total,api,91062,6597.402533419109,82661,108856
by_race,puma,0901101,total,other_race,68884,7731.603946424465,52335,83080
by_race,puma,0901300,total,white,74183,1578.893840075089,71175,77368
by_race,puma,0901300,total,black,40821,9976.684300496245,33912,74053
by_race,puma,0901300,total,latino,53053,5885.993318050306,42390,65817
by_race,puma,0901300,total,api,80922,8072.013647695091,67825,100000
by_race,puma,0901300,total,other_race,58615,12464.190410131181,40000,90000
by_race,puma,0901500,total,white,58264,1388.0457737819347,55263,60708
by_race,puma,0901500,total,black,44171,18873.58080513992,36032,118276
by_race,puma,0901500,total,latino,38000,3568.431871668223,34000,48148
by_race,puma,0901500,total,api,74183,15428.138054918172,30211,94203
by_race,puma,0901500,total,other_race,70000,9281.978204833438,57000,94203
by_race_x_sex,state,Connecticut,male,white,82895,510.1879026817437,82000,84000
by_race_x_sex,state,Connecticut,female,white,66316,533.9031218986854,65942,68035
by_race_x_sex,state,Connecticut,male,black,51811,1127.0508000905359,48632,53053
by_race_x_sex,state,Connecticut,female,black,47526,1272.7232554042344,45008,50000
by_race_x_sex,state,Connecticut,male,latino,47101,816.0282576182262,45800,49000
by_race_x_sex,state,Connecticut,female,latino,40000,677.5054472957902,39211,41868
by_race_x_sex,state,Connecticut,male,api,95053,3233.3842278487514,87316,100000
by_race_x_sex,state,Connecticut,female,api,71842,2572.2585642059025,66316,76409
by_race_x_sex,state,Connecticut,male,other_race,66988,2342.6698054535386,62802,72000
by_race_x_sex,state,Connecticut,female,other_race,56368,2294.72775621697,52988,62000
by_race_x_sex,region,Backus Hospital HSA,male,white,75000,1697.96269689447,71842,78502
by_race_x_sex,region,Backus Hospital HSA,female,white,52988,1472.7771387576665,51790,57568
by_race_x_sex,region,Backus Hospital HSA,male,black,47689,6706.756181118945,40000,67000
by_race_x_sex,region,Backus Hospital HSA,female,black,39000,6736.670732756025,31401,59343
by_race_x_sex,region,Backus Hospital HSA,male,latino,44211,2054.7603905732576,41868,50000
by_race_x_sex,region,Backus Hospital HSA,female,latino,41868,3582.6351771554864,36032,50241
by_race_x_sex,region,Backus Hospital HSA,male,api,44211,1537.0002663776118,42390,48553
by_race_x_sex,region,Backus Hospital HSA,female,api,38684,5627.411501848644,27214,49809
by_race_x_sex,region,Backus Hospital HSA,male,other_race,65000,13293.301405442819,47101,100000
by_race_x_sex,region,Backus Hospital HSA,female,other_race,55263,9338.155912378901,49632,86900
by_race_x_sex,region,Capitol Region COG,male,white,80922,1085.0303751034025,79482,83736
by_race_x_sex,region,Capitol Region COG,female,white,66896,861.301391565537,65705,69082
by_race_x_sex,region,Capitol Region COG,male,black,51790,2334.14084663769,47000,56167
by_race_x_sex,region,Capitol Region COG,female,black,45868,1742.4394462727448,43158,50000
by_race_x_sex,region,Capitol Region COG,male,latino,43857,1200.2470756199539,42390,47101
by_race_x_sex,region,Capitol Region COG,female,latino,37911,1195.9473808712714,36000,40695
by_race_x_sex,region,Capitol Region COG,male,api,91712,3741.0129111407514,84781,99474
by_race_x_sex,region,Capitol Region COG,female,api,71004,3993.3813039773017,62802,78502
by_race_x_sex,region,Capitol Region COG,male,other_race,70129,7047.405776272834,55108,82895
by_race_x_sex,region,Capitol Region COG,female,other_race,59343,4785.401751733147,50000,68884
by_race_x_sex,region,Charlotte Hungerford HSA,male,white,73124,1701.1837835683048,69632,76303
by_race_x_sex,region,Charlotte Hungerford HSA,female,white,58579,1476.0522270726435,55000,60789
by_race_x_sex,region,Charlotte Hungerford HSA,male,black,50842,9509.873832068633,45000,82661
by_race_x_sex,region,Charlotte Hungerford HSA,female,black,59343,5818.144829813686,56000,79000
by_race_x_sex,region,Charlotte Hungerford HSA,male,latino,57185,5041.7415408187535,50241,70133
by_race_x_sex,region,Charlotte Hungerford HSA,female,latino,47206,4478.4183306362,38684,56368
by_race_x_sex,region,Charlotte Hungerford HSA,male,api,105976,14619.833488514214,74183,131884
by_race_x_sex,region,Charlotte Hungerford HSA,female,api,60000,8968.621755947712,52988,88421
by_race_x_sex,region,Charlotte Hungerford HSA,male,other_race,75527,19107.558047298546,50000,126112
by_race_x_sex,region,Charlotte Hungerford HSA,female,other_race,62526,6501.749124867967,55000,80922
by_race_x_sex,region,Connecticut Metro COG,male,white,99474,2668.788745655429,94203,104669
by_race_x_sex,region,Connecticut Metro COG,female,white,75158,2408.292848813675,70133,79579
by_race_x_sex,region,Connecticut Metro COG,male,black,46421,2294.4026681083615,43961,52988
by_race_x_sex,region,Connecticut Metro COG,female,black,48000,2333.8491996923717,43158,52335
by_race_x_sex,region,Connecticut Metro COG,male,latino,45845,2609.9473217702393,42080,52335
by_race_x_sex,region,Connecticut Metro COG,female,latino,37092,1753.6519888690473,34000,40895
by_race_x_sex,region,Connecticut Metro COG,male,api,98000,13333.391162324946,77368,130000
by_race_x_sex,region,Connecticut Metro COG,female,api,75000,9716.05253541598,64105,102501
by_race_x_sex,region,Connecticut Metro COG,male,other_race,62802,8514.451580988247,59343,93259
by_race_x_sex,region,Connecticut Metro COG,female,other_race,41868,7206.323023870592,36000,64738
by_race_x_sex,region,Eastern Connecticut Health Network,male,white,74183,1660.0485458005269,71175,77685
by_race_x_sex,region,Eastern Connecticut Health Network,female,white,64105,1253.4642084426173,60789,65705
by_race_x_sex,region,Eastern Connecticut Health Network,male,black,46421,4154.617960269396,40000,56368
by_race_x_sex,region,Eastern Connecticut Health Network,female,black,46421,3079.21668760387,41868,54000
by_race_x_sex,region,Eastern Connecticut Health Network,male,latino,46421,2659.1347369936057,41868,52335
by_race_x_sex,region,Eastern Connecticut Health Network,female,latino,41000,3893.7718754711464,35368,50711
by_race_x_sex,region,Eastern Connecticut Health Network,male,api,82000,2993.7180707841903,75527,87316
by_race_x_sex,region,Eastern Connecticut Health Network,female,api,78502,9005.49217705969,58615,94203
by_race_x_sex,region,Eastern Connecticut Health Network,male,other_race,81000,9482.216275932078,52335,90000
by_race_x_sex,region,Eastern Connecticut Health Network,female,other_race,50000,7195.17743834998,36111,64738
by_race_x_sex,region,Fairfield County,male,white,105976,1359.7172540245988,104669,110000
by_race_x_sex,region,Fairfield County,female,white,80000,1620.2584821892133,77368,83721
by_race_x_sex,region,Fairfield County,male,black,52988,3196.730943274005,47101,59662
by_race_x_sex,region,Fairfield County,female,black,49737,2398.4517250635345,45008,54428
by_race_x_sex,region,Fairfield County,male,latino,48553,1739.22523020875,45845,52670
by_race_x_sex,region,Fairfield County,female,latino,40000,1261.958036346889,38204,43158
by_race_x_sex,region,Fairfield County,male,api,110526,4940.561079504412,104669,124081
by_race_x_sex,region,Fairfield County,female,api,84781,6974.3169182548445,74315,101737
by_race_x_sex,region,Fairfield County,male,other_race,65000,5164.883256688977,57000,77368
by_race_x_sex,region,Fairfield County,female,other_race,51292,7119.145491191773,41868,70000
by_race_x_sex,region,Greater Bridgeport,male,white,99474,2668.788745655429,94203,104669
by_race_x_sex,region,Greater Bridgeport,female,white,75158,2408.292848813675,70133,79579
by_race_x_sex,region,Greater Bridgeport,male,black,46421,2294.4026681083615,43961,52988
by_race_x_sex,region,Greater Bridgeport,female,black,48000,2333.8491996923717,43158,52335
by_race_x_sex,region,Greater Bridgeport,male,latino,45845,2609.9473217702393,42080,52335
by_race_x_sex,region,Greater Bridgeport,female,latino,37092,1753.6519888690473,34000,40895
by_race_x_sex,region,Greater Bridgeport,male,api,98000,13333.391162324946,77368,130000
by_race_x_sex,region,Greater Bridgeport,female,api,75000,9716.05253541598,64105,102501
by_race_x_sex,region,Greater Bridgeport,male,other_race,62802,8514.451580988247,59343,93259
by_race_x_sex,region,Greater Bridgeport,female,other_race,41868,7206.323023870592,36000,64738
by_race_x_sex,region,Greater Danbury,male,white,83779,1748.1078568365604,80542,87396
by_race_x_sex,region,Greater Danbury,female,white,68884,1489.8829987437607,66000,71842
by_race_x_sex,region,Greater Danbury,male,black,52335,9096.680859175876,44086,80000
by_race_x_sex,region,Greater Danbury,female,black,57568,6366.221105766347,45000,70133
by_race_x_sex,region,Greater Danbury,male,latino,52988,2396.6990003247647,48148,57568
by_race_x_sex,region,Greater Danbury,female,latino,39211,2482.2712923436093,37764,47526
by_race_x_sex,region,Greater Danbury,male,api,104669,8328.916704277115,83736,116574
by_race_x_sex,region,Greater Danbury,female,api,66316,6184.170144947097,58287,82689
by_race_x_sex,region,Greater Danbury,male,other_race,55000,3543.4346205807074,52988,67000
by_race_x_sex,region,Greater Danbury,female,other_race,44000,12831.265077703601,36032,87000
by_race_x_sex,region,Greater Hartford,male,white,80922,1085.0303751034025,79482,83736
by_race_x_sex,region,Greater Hartford,female,white,66896,861.301391565537,65705,69082
by_race_x_sex,region,Greater Hartford,male,black,51790,2334.14084663769,47000,56167
by_race_x_sex,region,Greater Hartford,female,black,45868,1742.4394462727448,43158,50000
by_race_x_sex,region,Greater Hartford,male,latino,43857,1200.2470756199539,42390,47101
by_race_x_sex,region,Greater Hartford,female,latino,37911,1195.9473808712714,36000,40695
by_race_x_sex,region,Greater Hartford,male,api,91712,3741.0129111407514,84781,99474
by_race_x_sex,region,Greater Hartford,female,api,71004,3993.3813039773017,62802,78502
by_race_x_sex,region,Greater Hartford,male,other_race,70129,7047.405776272834,55108,82895
by_race_x_sex,region,Greater Hartford,female,other_race,59343,4785.401751733147,50000,68884
by_race_x_sex,region,Greater New Haven,male,white,79482,1621.4000415481337,76303,82661
by_race_x_sex,region,Greater New Haven,female,white,65942,1259.7054035810431,63586,68526
by_race_x_sex,region,Greater New Haven,male,black,52335,2796.243370399472,45000,56000
by_race_x_sex,region,Greater New Haven,female,black,46055,2208.1558269970046,43158,51837
by_race_x_sex,region,Greater New Haven,male,latino,47101,2375.993300502104,43000,52335
by_race_x_sex,region,Greater New Haven,female,latino,42000,2035.5983691625438,40000,48000
by_race_x_sex,region,Greater New Haven,male,api,88421,7265.135695807482,77368,105976
by_race_x_sex,region,Greater New Haven,female,api,68884,8492.831624689488,56522,90000
by_race_x_sex,region,Greater New Haven,male,other_race,63586,5038.770700940389,52988,73000
by_race_x_sex,region,Greater New Haven,female,other_race,65000,6067.708003423884,53948,78000
by_race_x_sex,region,Greater Norwalk,male,white,150000,4630.289607196651,143684,161844
by_race_x_sex,region,Greater Norwalk,female,white,89020,2560.203587188346,84159,94203
by_race_x_sex,region,Greater Norwalk,male,black,55263,8004.686750678226,43158,75000
by_race_x_sex,region,Greater Norwalk,female,black,52988,6566.168907444956,43961,70000
by_race_x_sex,region,Greater Norwalk,male,latino,52140,3149.59927106572,46935,59343
by_race_x_sex,region,Greater Norwalk,female,latino,48230,4036.015497842464,40232,56167
by_race_x_sex,region,Greater Norwalk,male,api,120370,8026.826137150719,113291,145000
by_race_x_sex,region,Greater Norwalk,female,api,110526,14829.157947307973,81602,140265
by_race_x_sex,region,Greater Norwalk,male,other_race,115136,18301.283917517103,73269,146537
by_race_x_sex,region,Greater Norwalk,female,other_race,68035,9393.352147270329,45008,82895
by_race_x_sex,region,Greater Waterbury,male,white,74183,1658.0482909991154,72000,78502
by_race_x_sex,region,Greater Waterbury,female,white,61466,1374.5613338650444,59347,64738
by_race_x_sex,region,Greater Waterbury,male,black,45000,2611.092980053487,42000,52330
by_race_x_sex,region,Greater Waterbury,female,black,47689,4190.043521042157,38684,55263
by_race_x_sex,region,Greater Waterbury,male,latino,48963,2856.365984799902,42914,54158
by_race_x_sex,region,Greater Waterbury,female,latino,41868,2658.1437125285556,36634,47101
by_race_x_sex,region,Greater Waterbury,male,api,83000,9970.0356928553,66316,105976
by_race_x_sex,region,Greater Waterbury,female,api,72222,6563.701598976539,68884,95053
by_race_x_sex,region,Greater Waterbury,male,other_race,75527,8515.235441171651,58287,92199
by_race_x_sex,region,Greater Waterbury,female,other_race,55263,11226.565729780914,33158,78000
by_race_x_sex,region,Hartford County,male,white,80684,1147.2264063361445,78502,83000
by_race_x_sex,region,Hartford County,female,white,66896,1041.0661352513096,65000,69082
by_race_x_sex,region,Hartford County,male,black,52335,1989.709866671233,48553,56368
by_race_x_sex,region,Hartford County,female,black,46421,1537.8674633470707,43961,50000
by_race_x_sex,region,Hartford County,male,latino,43857,1449.3015369986886,42000,47689
by_race_x_sex,region,Hartford County,female,latino,37939,1195.8864369062496,36000,40695
by_race_x_sex,region,Hartford County,male,api,90080,4032.594847997539,84159,100000
by_race_x_sex,region,Hartford County,female,api,70000,3992.7143104886286,62802,78502
by_race_x_sex,region,Hartford County,male,other_race,67421,7095.228459200737,54000,82000
by_race_x_sex,region,Hartford County,female,other_race,61466,5094.950676642437,50000,70129
by_race_x_sex,region,Hartford Foundation,male,white,83736,791.9280559494484,82895,86000
by_race_x_sex,region,Hartford Foundation,female,white,69944,979.8373972194373,68000,71842
by_race_x_sex,region,Hartford Foundation,male,black,53381,2774.3557519231367,47101,58000
by_race_x_sex,region,Hartford Foundation,female,black,47084,1704.4037233376848,43547,50241
by_race_x_sex,region,Hartford Foundation,male,latino,43961,1428.634727857777,42390,48000
by_race_x_sex,region,Hartford Foundation,female,latino,39400,1570.3556602565445,35700,41868
by_race_x_sex,region,Hartford Foundation,male,api,94203,3481.56724270046,87000,100677
by_race_x_sex,region,Hartford Foundation,female,api,74183,4048.2292794613804,65000,80922
by_race_x_sex,region,Hartford Foundation,male,other_race,72506,7065.543035214988,55000,82895
by_race_x_sex,region,Hartford Foundation,female,other_race,61466,5095.439030826227,50000,70133
by_race_x_sex,region,Hartford Hospital HSA,male,white,82689,1351.4294276578046,79482,84781
by_race_x_sex,region,Hartford Hospital HSA,female,white,68884,1081.0046016790654,66765,71004
by_race_x_sex,region,Hartford Hospital HSA,male,black,50127,3094.2099319667977,44211,56368
by_race_x_sex,region,Hartford Hospital HSA,female,black,45570,1870.556415922399,42390,49737
by_race_x_sex,region,Hartford Hospital HSA,male,latino,43158,1289.398157437011,41331,46395
by_race_x_sex,region,Hartford Hospital HSA,female,latino,36634,1527.4407760047716,35000,41000
by_race_x_sex,region,Hartford Hospital HSA,male,api,91712,3873.237458222751,84781,100000
by_race_x_sex,region,Hartford Hospital HSA,female,api,74183,5094.903193440736,64738,84781
by_race_x_sex,region,Hartford Hospital HSA,male,other_race,63586,9318.598019100518,46055,82895
by_race_x_sex,region,Hartford Hospital HSA,female,other_race,62580,6244.660727940723,48553,73269
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,white,77368,1953.2805502450417,75000,82661
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,white,59343,2334.3658079173406,54428,63586
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,black,53948,8439.96790990377,45000,78502
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,black,45008,8539.88136866308,44000,78422
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,latino,43961,3652.6652321481424,40000,54428
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,latino,44211,2965.200601648271,38000,49737
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,api,99474,8255.145681979935,77455,110215
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,api,75000,8233.062005658176,58287,91062
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,male,other_race,70000,6306.42101034628,52335,77368
by_race_x_sex,region,Health Improvement Collaborative of Southeastern Connecticut area,female,other_race,55000,19376.233063186442,36200,113291
by_race_x_sex,region,Hospital of Central Connecticut HSA,male,white,74183,1409.1957445571359,71842,77368
by_race_x_sex,region,Hospital of Central Connecticut HSA,female,white,62802,1073.7512488680431,60789,65000
by_race_x_sex,region,Hospital of Central Connecticut HSA,male,black,52335,3778.515356693617,48632,63586
by_race_x_sex,region,Hospital of Central Connecticut HSA,female,black,43547,5674.966264887031,35000,57474
by_race_x_sex,region,Hospital of Central Connecticut HSA,male,latino,44000,2796.535626799611,41337,52335
by_race_x_sex,region,Hospital of Central Connecticut HSA,female,latino,38000,1491.2868084715662,36000,41868
